"rows" "cols" "seed" "sparsity" "animal" "environmental" "human" "ocean"
10 10 3 0.89 0.8 0.1 0 0.1
100 10 3 0.983 0.1 0 0.9 0
1000 10 3 0.9892 0 0 1 0
10000 10 3 0.99162 0 0.3 0.6 0.1
10 100 3 0.888 0.71 0.06 0.01 0.22
100 100 3 0.9813 0.14 0.02 0.77 0.07
1000 100 3 0.99016 0.04 0.12 0.8 0.04
10000 100 3 0.992309 0.1 0.22 0.65 0.03
10 1000 3 0.8838 0.724 0.028 0.008 0.24
100 1000 3 0.98226 0.084 0.07 0.792 0.054
1000 1000 3 0.988842 0.093 0.123 0.728 0.056
10000 1000 3 0.992029 0.099 0.16 0.696 0.045
10 10000 3 0.88378 0.7198 0.0222 0.0043 0.2537
100 10000 3 0.982392 0.0918 0.069 0.7819 0.0573
1000 10000 3 0.9888873 0.0925 0.1379 0.7236 0.046
10000 10000 3 0.99188641 0.0845 0.1506 0.7208 0.0441
10 1e+05 3 0.882955 0.72337 0.02128 0.0043 0.25105
100 1e+05 3 0.9824895 0.09503 0.06825 0.78013 0.05659
1000 1e+05 3 0.98896735 0.0897 0.13564 0.72706 0.0476
10000 1e+05 3 0.991942584 0.0889 0.15224 0.71442 0.04444
10 10 4 0.9 0.6 0.1 0.1 0.2
100 10 4 0.986 0.1 0.1 0.7 0.1
1000 10 4 0.9893 0.1 0.2 0.7 0
10000 10 4 0.99274 0.1 0 0.9 0
10 100 4 0.899 0.43 0.14 0.25 0.18
100 100 4 0.982 0.25 0.18 0.45 0.12
1000 100 4 0.99124 0.09 0.17 0.67 0.07
10000 100 4 0.993132 0.12 0.14 0.69 0.05
10 1000 4 0.8985 0.438 0.175 0.243 0.144
100 1000 4 0.98343 0.18 0.204 0.478 0.138
1000 1000 4 0.990695 0.092 0.144 0.69 0.074
10000 1000 4 0.9920799 0.087 0.135 0.728 0.05
10 10000 4 0.89885 0.4499 0.1692 0.2258 0.1551
100 10000 4 0.983208 0.1767 0.1971 0.4762 0.15
1000 10000 4 0.9909032 0.0959 0.1465 0.7016 0.056
10000 10000 4 0.99208107 0.0882 0.1444 0.7286 0.0388
10 1e+05 4 0.898902 0.44879 0.17026 0.22461 0.15634
100 1e+05 4 0.9832627 0.1833 0.19867 0.47243 0.1456
1000 1e+05 4 0.99097335 0.09729 0.151 0.69867 0.05304
10000 1e+05 4 0.992033352 0.0883 0.15042 0.7149 0.04638
10 10 5 0.9 0.2 0 0.7 0.1
100 10 5 0.985 0.1 0.1 0.8 0
1000 10 5 0.9887 0 0.1 0.7 0.2
10000 10 5 0.9913 0.1 0 0.8 0.1
10 100 5 0.9 0.21 0.09 0.6 0.1
100 100 5 0.9837 0.14 0.05 0.77 0.04
1000 100 5 0.98986 0.04 0.2 0.66 0.1
10000 100 5 0.992245 0.13 0.12 0.71 0.04
10 1000 5 0.8993 0.194 0.124 0.542 0.14
100 1000 5 0.98381 0.143 0.131 0.671 0.055
1000 1000 5 0.989516 0.091 0.127 0.735 0.047
10000 1000 5 0.9918118 0.088 0.151 0.714 0.047
10 10000 5 0.89891 0.2037 0.1319 0.517 0.1474
100 10000 5 0.984048 0.1398 0.1334 0.6586 0.0682
1000 10000 5 0.9897592 0.0928 0.1451 0.713 0.0491
10000 10000 5 0.99184228 0.0884 0.1474 0.7155 0.0487
10 1e+05 5 0.899091 0.19876 0.13419 0.5142 0.15285
100 1e+05 5 0.9839177 0.14199 0.1365 0.65208 0.06943
1000 1e+05 5 0.98972047 0.09079 0.14208 0.71727 0.04986
10000 1e+05 5 0.991862915 0.08822 0.15098 0.71366 0.04714
