"rows" "cols" "seed" "sparsity" "animal" "environmental" "human" "ocean"
10 10 6 0.9 0.1 0.4 0.3 0.2
100 10 6 0.987 0.1 0 0.8 0.1
1000 10 6 0.9939 0 0.2 0.8 0
10000 10 6 0.99403 0.2 0.2 0.6 0
10 100 6 0.893 0.07 0.43 0.21 0.29
100 100 6 0.9841 0.11 0.24 0.57 0.08
1000 100 6 0.99397 0.06 0.18 0.7 0.06
10000 100 6 0.992133 0.06 0.22 0.66 0.06
10 1000 6 0.8927 0.113 0.392 0.223 0.272
100 1000 6 0.98418 0.15 0.18 0.558 0.112
1000 1000 6 0.991769 0.089 0.138 0.719 0.054
10000 1000 6 0.9920344 0.086 0.162 0.693 0.059
10 10000 6 0.89172 0.0933 0.3853 0.2233 0.2981
100 10000 6 0.984168 0.1597 0.1794 0.5528 0.1081
1000 10000 6 0.9918917 0.0889 0.1457 0.7159 0.0495
10000 10000 6 0.99186244 0.0936 0.1501 0.709 0.0473
10 1e+05 6 0.891715 0.09892 0.37928 0.22697 0.29483
100 1e+05 6 0.9841052 0.15452 0.18565 0.54906 0.11077
1000 1e+05 6 0.99187863 0.08651 0.13871 0.72576 0.04902
10000 1e+05 6 0.991943117 0.08987 0.15141 0.71301 0.04571
10 10 7 0.9 0.1 0.5 0.2 0.2
100 10 7 0.972 0.2 0.4 0.3 0.1
1000 10 7 0.9908 0 0.1 0.9 0
10000 10 7 0.99551 0 0.2 0.8 0
10 100 7 0.9 0.1 0.37 0.19 0.34
100 100 7 0.9755 0.15 0.12 0.69 0.04
1000 100 7 0.99187 0.08 0.16 0.75 0.01
10000 100 7 0.992205 0.04 0.07 0.88 0.01
10 1000 7 0.8997 0.079 0.37 0.136 0.415
100 1000 7 0.97638 0.088 0.125 0.723 0.064
1000 1000 7 0.989863 0.086 0.131 0.749 0.034
10000 1000 7 0.99212 0.081 0.141 0.736 0.042
10 10000 7 0.89939 0.064 0.3739 0.1432 0.4189
100 10000 7 0.977069 0.0991 0.1152 0.7226 0.0631
1000 10000 7 0.9894267 0.0878 0.1422 0.7251 0.0449
10000 10000 7 0.99203401 0.0856 0.1547 0.7129 0.0468
10 1e+05 7 0.899335 0.06282 0.37579 0.14101 0.42038
100 1e+05 7 0.977059 0.09321 0.11804 0.7268 0.06195
1000 1e+05 7 0.98927098 0.08878 0.13801 0.72486 0.04835
10000 1e+05 7 0.991843238 0.09072 0.15105 0.71209 0.04614
10 10 8 0.9 0.6 0.1 0.2 0.1
100 10 8 0.99 0 0.2 0.7 0.1
1000 10 8 0.9912 0 0.3 0.6 0.1
10000 10 8 0.99025 0 0.2 0.8 0
10 100 8 0.897 0.59 0.07 0.33 0.01
100 100 8 0.9813 0.18 0.16 0.54 0.12
1000 100 8 0.99192 0.09 0.21 0.67 0.03
10000 100 8 0.990638 0.1 0.13 0.75 0.02
10 1000 8 0.8973 0.538 0.053 0.394 0.015
100 1000 8 0.98186 0.173 0.201 0.54 0.086
1000 1000 8 0.992334 0.07 0.162 0.723 0.045
10000 1000 8 0.9917364 0.099 0.16 0.693 0.048
10 10000 8 0.89736 0.5631 0.0538 0.371 0.0121
100 10000 8 0.981556 0.1917 0.2042 0.519 0.0851
1000 10000 8 0.9916944 0.0912 0.149 0.7097 0.0501
10000 10000 8 0.99182675 0.0897 0.1567 0.7088 0.0448
10 1e+05 8 0.897221 0.57163 0.05062 0.36481 0.01294
100 1e+05 8 0.981464 0.18744 0.2074 0.51816 0.087
1000 1e+05 8 0.99162479 0.09144 0.14516 0.71335 0.05005
10000 1e+05 8 0.991839063 0.08955 0.15269 0.71266 0.0451
10 10 9 0.89 0.2 0.4 0 0.4
100 10 9 0.979 0.1 0.1 0.8 0
1000 10 9 0.9894 0.1 0.1 0.7 0.1
10000 10 9 0.98875 0.2 0.1 0.6 0.1
10 100 9 0.893 0.36 0.27 0.03 0.34
100 100 9 0.9799 0.13 0.1 0.75 0.02
1000 100 9 0.98908 0.15 0.13 0.68 0.04
10000 100 9 0.990394 0.1 0.13 0.75 0.02
10 1000 9 0.8917 0.39 0.323 0.024 0.263
100 1000 9 0.98006 0.12 0.074 0.764 0.042
1000 1000 9 0.989768 0.102 0.132 0.715 0.051
10000 1000 9 0.9919142 0.09 0.145 0.708 0.057
10 10000 9 0.89243 0.3934 0.3175 0.0287 0.2604
100 10000 9 0.980656 0.107 0.0825 0.7684 0.0421
1000 10000 9 0.9901293 0.0915 0.1385 0.7213 0.0487
10000 10000 9 0.99212974 0.0848 0.1525 0.7192 0.0435
10 1e+05 9 0.892789 0.38741 0.31559 0.02825 0.26875
100 1e+05 9 0.9807675 0.1039 0.07979 0.77425 0.04206
1000 1e+05 9 0.99024714 0.08948 0.13773 0.72346 0.04933
10000 1e+05 9 0.991970152 0.0892 0.15248 0.71217 0.04615
